lat prs camp flt x yday
-35 550 22 7 -0.421866 43
-25 550 22 7 -0.2565684 44
-15 550 22 7 -0.3337786 44
-5 550 22 7 0.08235641 44
-55 650 22 7 0.4028293 43
-45 650 22 7 -0.1528392 43
-35 650 22 7 -0.3636353 43
-25 650 22 7 -0.4073268 44
-15 650 22 7 -0.3921171 44
-5 650 22 7 0.1294818 44
-55 750 22 7 0.3837641 43
-45 750 22 7 -0.1793058 43
-35 750 22 7 -0.4712259 43
-25 750 22 7 -0.3474865 44
-15 750 22 7 -0.5104188 44
-5 750 22 7 0.2724379 44
-55 850 22 7 -0.2553167 43
-45 850 22 7 -0.244916 43
-35 850 22 7 -0.4462313 43
-15 850 22 7 -0.7053574 44
-5 850 22 7 0.1242017 44
-55 950 22 7 -0.7873714 43
-45 950 22 7 0.00205101 43
-35 950 22 7 -0.3564265 43
-15 950 22 7 -0.5635546 44
-5 950 22 7 0.1203811 44
-65 350 23 7 0.2958808 286.3882
-55 350 23 7 0.4137741 286.155
-65 450 23 7 0.2424677 286.3229
-55 450 23 7 0.4415699 286.2353
-65 550 23 7 0.2683179 286.4219
-55 550 23 7 0.311718 286.193
-65 650 23 7 0.2393 286.4545
-55 650 23 7 0.2118492 286.254
-65 750 23 7 0.3314179 286.5128
-55 750 23 7 0.261677 286.3396
-65 850 23 7 0.4093395 286.5349
-55 850 23 7 0.2803022 286.6556
-65 950 23 7 0.3977091 286.4835
-55 950 23 7 0.1935016 286.3125
-65 350 24 7 0.2352615 128
-55 350 24 7 0.3657737 128.2288
-65 450 24 7 0.2420526 128
-55 450 24 7 0.4073648 128.7316
-65 550 24 7 0.1958832 128
-55 550 24 7 0.484931 128.4674
-65 650 24 7 0.2227896 128
-55 650 24 7 0.4067784 128.625
-65 750 24 7 0.180849 128
-55 750 24 7 0.3823222 128.6111
-65 850 24 7 0.1457683 128
-55 850 24 7 0.4412377 128.6753
-65 950 24 7 0.108519 128
-55 950 24 7 0.3082364 128.5804
-5 350 21 8 0.1828661 229
5 350 21 8 0.1795612 229
15 350 21 8 0.3899354 229
25 350 21 8 0.0145027 229
35 350 21 8 0.3670084 229
-5 450 21 8 0.2793968 229
5 450 21 8 0.2210524 229
15 450 21 8 0.2385917 229
25 450 21 8 -0.05423105 229
35 450 21 8 0.4122476 229
-5 550 21 8 0.1713837 229
5 550 21 8 0.1448113 229
15 550 21 8 0.1448196 229
25 550 21 8 0.1927173 229
35 550 21 8 0.4598162 229
-5 650 21 8 0.2578622 229
5 650 21 8 0.3967152 229
15 650 21 8 0.1381313 229
25 650 21 8 -0.09501743 229
35 650 21 8 0.3451935 229
-5 750 21 8 0.3853623 229
5 750 21 8 0.2995971 229
15 750 21 8 0.1299712 229
25 750 21 8 -0.1020367 229
35 750 21 8 0.4201024 229
-5 850 21 8 0.2375823 229
5 850 21 8 -0.008909877 229
15 850 21 8 0.1183673 229
25 850 21 8 -0.05307728 229
35 850 21 8 0.3139785 229
-5 950 21 8 0.1844335 229
5 950 21 8 0.1041966 229
15 950 21 8 0.1412695 229
25 950 21 8 0.03172068 229
35 950 21 8 -0.00666087 229
-5 350 22 8 0.4396811 45
5 350 22 8 0.3389544 45
15 350 22 8 0.4881737 45
25 350 22 8 0.3006726 45
35 350 22 8 0.8417351 45.17742
-5 450 22 8 0.513835 45
5 450 22 8 0.4016837 45
15 450 22 8 0.3357274 45
25 450 22 8 0.2317998 45
35 450 22 8 0.7935606 45.2619
-5 550 22 8 0.6599646 45
5 550 22 8 0.2525971 45
15 550 22 8 0.3238718 45
25 550 22 8 0.2754303 45
35 550 22 8 0.8355045 45.33333
-5 650 22 8 0.5081623 45
5 650 22 8 0.1361851 45
